County,2011,2012,2013,2014,2015,2016,2017,2018,2019
".Adams County, Ohio","28,459","28,293","28,089","28,066","27,926","27,807","27,753","27,694","27,698"
".Allen County, Ohio","105,988","105,244","105,055","104,848","104,095","103,613","103,093","102,725","102,351"
".Ashland County, Ohio","53,252","53,239","53,153","53,161","53,310","53,520","53,662","53,706","53,484"
".Ashtabula County, Ohio","101,085","100,252","99,746","99,027","98,404","98,171","97,748","97,587","97,241"
".Athens County, Ohio","65,079","64,610","64,594","64,783","65,886","66,352","66,503","65,519","65,327"
".Auglaize County, Ohio","45,741","45,770","45,801","45,737","45,734","45,766","45,753","45,736","45,656"
".Belmont County, Ohio","70,122","69,709","69,563","69,367","68,973","68,606","68,002","67,533","67,006"
".Brown County, Ohio","44,629","44,281","44,111","43,933","43,697","43,638","43,523","43,570","43,432"
".Butler County, Ohio","370,123","370,550","371,395","373,750","375,998","378,354","380,607","382,000","383,134"
".Carroll County, Ohio","28,820","28,538","28,257","28,129","27,718","27,621","27,324","27,082","26,914"
".Champaign County, Ohio","39,824","39,573","39,461","39,078","38,963","38,741","38,851","38,785","38,885"
".Clark County, Ohio","137,811","137,171","136,638","136,311","135,746","134,723","134,549","134,528","134,083"
".Clermont County, Ohio","198,859","199,487","200,447","201,454","201,995","203,165","204,260","205,526","206,428"
".Clinton County, Ohio","41,913","41,819","41,864","41,805","41,839","41,887","42,004","42,085","41,968"
".Columbiana County, Ohio","107,419","106,620","105,959","105,621","104,714","103,817","103,062","102,473","101,883"
".Coshocton County, Ohio","36,931","36,823","36,723","36,531","36,577","36,617","36,536","36,596","36,600"
".Crawford County, Ohio","43,310","42,776","42,713","42,407","42,324","42,095","41,710","41,484","41,494"
".Cuyahoga County, Ohio","1,270,331","1,266,106","1,265,442","1,263,201","1,258,739","1,254,144","1,247,581","1,241,718","1,235,072"
".Darke County, Ohio","52,653","52,515","52,306","52,184","51,981","51,624","51,549","51,299","51,113"
".Defiance County, Ohio","39,005","38,827","38,564","38,525","38,326","38,140","38,156","38,089","38,087"
".Delaware County, Ohio","178,535","181,127","185,380","189,440","193,391","197,144","200,870","205,091","209,177"
".Erie County, Ohio","76,687","76,428","76,053","75,809","75,360","74,999","74,760","74,513","74,266"
".Fairfield County, Ohio","147,174","147,301","148,796","150,360","151,254","152,789","154,686","155,982","157,574"
".Fayette County, Ohio","28,867","28,767","28,686","28,650","28,611","28,670","28,639","28,653","28,525"
".Franklin County, Ohio","1,180,800","1,199,045","1,218,878","1,238,362","1,257,386","1,274,450","1,295,510","1,307,698","1,316,756"
".Fulton County, Ohio","42,363","42,330","42,199","42,403","42,301","42,306","42,265","42,267","42,126"
".Gallia County, Ohio","31,031","30,886","30,685","30,463","30,249","30,186","30,162","29,945","29,898"
".Geauga County, Ohio","93,292","93,771","93,846","93,979","93,894","93,845","93,881","93,945","93,649"
".Greene County, Ohio","163,566","164,335","163,907","164,673","164,272","165,290","166,566","167,446","168,937"
".Guernsey County, Ohio","39,910","39,876","39,706","39,690","39,392","39,211","39,066","39,011","38,875"
".Hamilton County, Ohio","800,658","802,409","805,182","807,617","809,527","811,332","814,170","815,445","817,473"
".Hancock County, Ohio","74,912","75,459","75,581","75,281","75,678","75,831","75,973","75,920","75,783"
".Hardin County, Ohio","31,806","31,632","31,747","31,784","31,616","31,398","31,329","31,418","31,365"
".Harrison County, Ohio","15,790","15,684","15,602","15,519","15,395","15,252","15,202","15,167","15,040"
".Henry County, Ohio","28,002","27,824","27,824","27,597","27,481","27,282","27,179","27,091","27,006"
".Highland County, Ohio","43,378","42,964","43,195","43,093","42,960","43,006","42,903","43,052","43,161"
".Hocking County, Ohio","29,466","29,304","28,653","28,743","28,500","28,393","28,436","28,357","28,264"
".Holmes County, Ohio","42,793","43,128","43,604","43,788","43,882","43,847","43,895","43,919","43,960"
".Huron County, Ohio","59,416","59,204","58,825","58,610","58,307","58,367","58,393","58,364","58,266"
".Jackson County, Ohio","33,124","32,869","32,801","32,761","32,559","32,528","32,386","32,366","32,413"
".Jefferson County, Ohio","69,035","68,538","68,168","67,876","67,495","66,944","66,318","65,774","65,325"
".Knox County, Ohio","61,283","60,764","60,858","61,000","61,001","60,909","61,271","61,900","62,322"
".Lake County, Ohio","229,988","229,564","230,075","229,857","229,836","229,525","230,159","230,102","230,149"
".Lawrence County, Ohio","62,415","62,146","61,858","61,539","60,923","60,691","60,075","59,767","59,463"
".Licking County, Ohio","167,164","167,589","168,461","169,410","170,611","171,993","173,617","175,666","176,862"
".Logan County, Ohio","45,623","45,410","45,393","45,473","45,250","45,128","45,198","45,332","45,672"
".Lorain County, Ohio","301,874","301,712","303,098","304,464","305,417","306,607","307,441","309,052","309,833"
".Lucas County, Ohio","439,359","436,753","436,156","434,585","433,633","432,879","431,039","429,612","428,348"
".Madison County, Ohio","43,114","42,991","43,256","43,980","44,139","43,377","44,041","44,389","44,731"
".Mahoning County, Ohio","237,363","235,702","234,393","233,391","231,846","230,269","229,791","229,216","228,683"
".Marion County, Ohio","66,599","66,277","65,964","65,791","65,431","65,467","65,076","65,427","65,093"
".Medina County, Ohio","173,504","173,623","174,639","175,855","176,126","176,876","178,176","178,978","179,746"
".Meigs County, Ohio","23,648","23,572","23,443","23,277","23,180","23,166","23,071","23,064","22,907"
".Mercer County, Ohio","40,715","40,705","40,615","40,730","40,723","40,715","40,858","40,952","41,172"
".Miami County, Ohio","102,734","102,934","103,213","103,856","104,075","104,553","105,200","106,042","106,987"
".Monroe County, Ohio","14,613","14,502","14,503","14,357","14,253","14,083","13,931","13,787","13,654"
".Montgomery County, Ohio","534,558","534,334","534,270","532,488","531,777","531,818","531,467","531,600","531,687"
".Morgan County, Ohio","15,036","14,930","14,894","14,730","14,735","14,733","14,644","14,581","14,508"
".Morrow County, Ohio","34,810","34,834","34,846","34,937","34,943","34,922","34,911","35,113","35,328"
".Muskingum County, Ohio","86,243","85,794","85,649","85,905","86,194","85,993","86,123","86,131","86,215"
".Noble County, Ohio","14,752","14,677","14,678","14,532","14,467","14,441","14,400","14,347","14,424"
".Ottawa County, Ohio","41,320","41,242","41,035","40,903","40,754","40,488","40,623","40,769","40,525"
".Paulding County, Ohio","19,369","19,248","19,143","18,975","18,959","18,839","18,831","18,742","18,672"
".Perry County, Ohio","36,232","35,984","36,000","35,926","35,967","35,998","35,972","36,039","36,134"
".Pickaway County, Ohio","55,948","56,237","56,355","56,704","56,989","57,545","57,740","58,077","58,457"
".Pike County, Ohio","28,479","28,371","28,272","28,181","28,117","28,093","28,088","27,932","27,772"
".Portage County, Ohio","161,875","161,383","161,695","162,463","162,594","162,521","162,473","162,502","162,466"
".Preble County, Ohio","41,986","41,812","41,671","41,495","41,297","41,157","41,116","41,011","40,882"
".Putnam County, Ohio","34,385","34,207","34,123","34,198","34,026","34,007","33,860","33,802","33,861"
".Richland County, Ohio","123,144","122,633","122,314","121,999","121,688","121,242","120,430","120,987","121,154"
".Ross County, Ohio","77,581","77,341","77,283","77,095","77,049","76,848","77,295","76,884","76,666"
".Sandusky County, Ohio","60,609","60,467","60,049","59,827","59,475","59,317","59,093","58,740","58,518"
".Scioto County, Ohio","79,408","78,783","78,304","77,476","76,992","76,436","75,976","75,480","75,314"
".Seneca County, Ohio","56,522","56,106","55,847","55,803","55,650","55,467","55,267","55,194","55,178"
".Shelby County, Ohio","49,259","49,159","49,203","48,995","49,030","48,765","48,738","48,622","48,590"
".Stark County, Ohio","374,511","374,891","375,108","375,546","374,715","373,447","372,003","371,248","370,606"
".Summit County, Ohio","541,325","540,726","541,926","542,445","541,788","541,003","541,514","541,353","541,013"
".Trumbull County, Ohio","208,834","207,191","206,328","204,973","203,328","201,715","200,281","198,539","197,974"
".Tuscarawas County, Ohio","92,483","92,413","92,602","92,652","92,739","92,560","92,308","92,079","91,987"
".Union County, Ohio","53,095","52,796","53,436","53,773","54,388","55,581","56,798","57,782","58,988"
".Van Wert County, Ohio","28,625","28,636","28,347","28,334","28,319","28,177","28,283","28,253","28,275"
".Vinton County, Ohio","13,380","13,221","13,303","13,210","13,082","13,022","13,082","13,145","13,085"
".Warren County, Ohio","215,332","217,212","219,216","221,267","223,864","226,539","228,709","231,945","234,602"
".Washington County, Ohio","61,607","61,447","61,364","61,160","61,020","60,598","60,491","60,111","59,911"
".Wayne County, Ohio","114,649","115,029","115,400","115,912","116,214","116,613","116,168","115,790","115,710"
".Williams County, Ohio","37,584","37,521","37,426","37,195","37,007","36,937","36,707","36,739","36,692"
".Wood County, Ohio","127,124","128,425","129,013","129,337","129,285","129,768","130,437","130,441","130,817"
".Wyandot County, Ohio","22,643","22,545","22,460","22,283","22,176","22,071","22,063","21,918","21,772"